gvkey,firm_name,year,form,accession_num,amount
28214,INTERPOOL INC,2004,10-K/A,0000899681-05-000378,blank
28214,INTERPOOL INC,2003,10-K/A,0000899681-05-000434,
3144,COCA COLA CO,2005,10-K,0001047469-06-002588,"6,100,000,000"
3144,COCA COLA CO,2004,10-K,0001047469-05-005411,0 to 6.1 billion
133430,MOLDFLOW CORP,2005,10-K,0000950135-05-005362,
133430,MOLDFLOW CORP,2006,10-K,0000950135-06-005716,"10,600,000"
12141,MICROSOFT CORP,2005,10-K,0001193125-05-174825,"780,000,000"
12141,MICROSOFT CORP,2006,10-K,0001193125-06-180008,"780,000,000"
14084,ALBANY INTERNATIONAL CORP /DE/,2004,10-K,0001145443-05-000454,
12141,MICROSOFT CORP,2006,10-K,0001193125-06-180008,"780,000,000"
14084,ALBANY INTERNATIONAL CORP /DE/,2004,10-K,0001145443-05-000454,
14084,ALBANY INTERNATIONAL CORP /DE/,2005,10-K,0001145443-06-000597,"69,600,000"
1246,IKON OFFICE SOLUTIONS INC,2004,10-K/A,0001193125-05-139701,
1246,IKON OFFICE SOLUTIONS INC,2004,10-K,0001193125-04-211197,
1246,IKON OFFICE SOLUTIONS INC,2005,10-K,0000893220-05-002873,"0 to 137,500"
5878,ILLINOIS TOOL WORKS INC,2005,10-K,0000950137-06-002224,"1,400,000,000"
5878,ILLINOIS TOOL WORKS INC,2004,10-K,0000950137-05-002667,
5878,ILLINOIS TOOL WORKS INC,2004,10-K/A,0000950137-05-002904,
156861,TEMPUR PEDIC INTERNATIONAL INC,2004,10-K,0001193125-05-044732,
156861,TEMPUR PEDIC INTERNATIONAL INC,2005,10-K,0001193125-06-052513,"155,650"
113419,CONVERGYS CORP,2004,10-K,0001193125-05-041709,
113419,CONVERGYS CORP,2005,10-K,0001193125-06-046129,187 something
143356,PRUDENTIAL FINANCIAL INC,2004,10-K,0001193125-05-045535,max 2.24 billion
143356,PRUDENTIAL FINANCIAL INC,2004,10-K/A,0001193125-06-032776,max 2.24
143356,PRUDENTIAL FINANCIAL INC,2005,10-K/A,0001193125-06-055791,blank
143356,PRUDENTIAL FINANCIAL INC,2005,10-K,0001193125-06-041378,"160,000,000"
14450,WOLVERINE TUBE INC,2004,10-K,0000950144-05-002643,"10,200,000"
14450,WOLVERINE TUBE INC,2005,10-K,0000950144-06-002388,"10,200,000"
24800,QUALCOMM INC/DE,2005,10-K,0000936392-05-000362,"500,000,000"
24800,QUALCOMM INC/DE,2004,10-K,0000936392-04-000858,
65896,OYO GEOSPACE CORP,2004,10-K,0001193125-04-208792,
65896,OYO GEOSPACE CORP,2005,10-K,0001193125-05-247590,
5250,W R GRACE &amp; CO,2005,10-K,0000950136-06-001861,
5250,W R GRACE &amp; CO,2004,10-K,0000950136-05-001184,
7163,MCGRAW-HILL COMPANIES INC,2005,10-K,0000950123-06-002219,"209,300,000"
146017,ACUITY BRANDS INC,2004,10-K,0001193125-04-181807,blank
146017,ACUITY BRANDS INC,2005,10-K,0001193125-05-213128,
27845,WATSON PHARMACEUTICALS INC,2005,10-K,0001104659-06-015868,"11,000,000"
27845,WATSON PHARMACEUTICALS INC,2004,10-K,0001047469-05-006534,
2086,BAXTER INTERNATIONAL INC,2005,10-K,0000950137-06-002686,"2,100,000,000"
2086,BAXTER INTERNATIONAL INC,2003,10-K/A,0001193125-05-049548,
64745,KNOLL INC,2005,10-K,0001193125-06-056535,"45,000,000"
64745,KNOLL INC,2004,10-K,0001193125-05-066391,
10639,TOYS R US INC,2006,10-K,0001193125-06-093096,"607,000,000"
10639,TOYS R US INC,2005,10-K,0001193125-05-090701,"607,000,000"
7951,MOVADO GROUP INC,2006,10-K/A,0000950142-06-000922,blank
7951,MOVADO GROUP INC,2006,10-K,0000950123-06-004587,"148,500,000"
7951,MOVADO GROUP INC,2005,10-K,0000950123-05-004625,max is 183 million
14863,GENLYTE GROUP INC,2005,10-K,0000833076-06-000006,"60,000,000"
14863,GENLYTE GROUP INC,2004,10-K,0001104659-05-014394,
126554,AGILENT TECHNOLOGIES INC,2005,10-K,0001047469-06-000516,"970,000,000"
126554,AGILENT TECHNOLOGIES INC,2004,10-K,0001193125-04-216917,0 to 970 million
62689,ST PAUL TRAVELERS COMPANIES INC,2005,10-K,0001104659-06-012299,"158,000,000"
62689,ST PAUL TRAVELERS COMPANIES INC,2004,10-K,0001193125-05-052696,blank
2044,BARD C R INC /NJ/,2004,10-K,0001193125-05-038606,0 to 750 million
2044,BARD C R INC /NJ/,2005,10-K,0001193125-06-037819,"600,000,000"
9004,REEBOK INTERNATIONAL LTD,2004,10-K,0001047469-05-005743,"290,000,000"
9004,REEBOK INTERNATIONAL LTD,2004,10-K/A,0001104659-05-061309,blank
9699,SIGMA ALDRICH CORP,2005,10-K,0001193125-06-053737,"120,500,000"
2271,BLOUNT INTERNATIONAL INC,2003,10-K/A,0000950157-04-000911,
2271,BLOUNT INTERNATIONAL INC,2004,10-K,0001104659-05-009942,
2271,BLOUNT INTERNATIONAL INC,2005,10-K,0001104659-06-015817,"24,900,000"
1632,ANALOG DEVICES INC,2005,10-K,0000950135-05-006610,"1,055,000,000"
1632,ANALOG DEVICES INC,2004,10-K,0000950135-04-005529,max 1.055 billion
24468,BIOGEN IDEC INC,2005,10-K,0000950135-06-001384,"196,000,000"
24468,BIOGEN IDEC INC,2004,10-K,0000950135-05-001792,500 million max
11115,VARIAN MEDICAL SYSTEMS INC,2004,10-K,0001104659-04-039471,
11115,VARIAN MEDICAL SYSTEMS INC,2005,10-K,0001104659-05-060358,up to 175 million
25124,PRAXAIR INC,2005,10-K,0000884905-06-000030,"1,100,000,000"
25124,PRAXAIR INC,2004,10-K,0000884905-05-000075,up to 1.1 billion
118003,PEROT SYSTEMS CORP,2004,10-K,0000950134-05-004503,up to 50 million
25124,PRAXAIR INC,2005,10-K,0000884905-06-000030,"1,100,000,000"
25124,PRAXAIR INC,2004,10-K,0000884905-05-000075,1.1 billion max
118003,PEROT SYSTEMS CORP,2004,10-K,0000950134-05-004503,
118003,PEROT SYSTEMS CORP,2005,10-K,0000950134-06-003959,"42,200,000"
7904,NICOR INC,2004,10-K,0000072020-05-000007,
7904,NICOR INC,2005,10-K,0000072020-06-000008,"132,000,000"
2812,DOLE FOOD COMPANY INC,2005,10-K,0000950137-06-004586,"570,000,000"
2812,DOLE FOOD COMPANY INC,2005,10-K,0000950137-05-004039,up to 560 million
64389,SILGAN HOLDINGS INC,2004,10-K,0000849869-05-000012,0 to 42.6 million
64389,SILGAN HOLDINGS INC,2005,10-K,0001193125-06-053598,"64,000,000"
10056,STEPAN CO,2005,10-K,0001193125-06-045672,"9,000,000"
10056,STEPAN CO,2004,10-K,0001193125-05-042706,
7366,ENTERGY CORP /DE/,2004,10-K,0000065984-05-000147,"64,000,000"
7366,ENTERGY CORP /DE/,2005,10-K,0000065984-06-000119,"59,000,000"
7154,MCDONALDS CORP,2005,10-K,0001193125-06-039862,"3,000,000,000"
7154,MCDONALDS CORP,2004,10-K,0001193125-05-042609,o to 3.2 billion
9698,SIFCO INDUSTRIES INC,2004,10-K,0000950152-04-009016,6 to 14 million
9698,SIFCO INDUSTRIES INC,2005,10-K,0000950152-05-010016,"13,400,000"
4510,FMC CORP,2005,10-K,0001193125-06-048313,"528,000,000"
4510,FMC CORP,2004,10-K,0001193125-05-049229,0 to 500 million
4510,FMC CORP,2005,10-K/A,0001193125-06-068846,blank
9459,SCHERING PLOUGH CORP,2004,10-K/A,0000950123-05-003861,blank
9459,SCHERING PLOUGH CORP,2004,10-K,0000950123-05-002785,"9,400,000,000"
9459,SCHERING PLOUGH CORP,2005,10-K,0000950123-06-002367,"9,400,000,000"
4941,GATX CORP,2005,10-K/A,0000950137-06-003638,"94,500,000"
4941,GATX CORP,2005,10-K,0000950137-06-002873,"94,500,000"
4941,GATX CORP,2004,10-K,0000950137-05-002962,
1602,AMGEN INC,2005,10-K,0001104659-06-015851,"500,000,000"
1602,AMGEN INC,2004,10-K,0000950129-05-002159,up to 500 million
3969,DIODES INC /DEL/,2005,10-K,0001144204-06-010106,"8,000,000"
3969,DIODES INC /DEL/,2004,10-K,0001144204-05-007853,"8,000,000"
3969,DIODES INC /DEL/,2005,10-K/A,0000029002-05-000010,blank
10609,TOOTSIE ROLL INDUSTRIES INC,2005,10-K,0001047469-06-003397,"21,200 something"
10609,TOOTSIE ROLL INDUSTRIES INC,2004,10-K,0001047469-05-006676,
4145,PERKINELMER INC,2006,10-K,0001193125-06-058022,"470,000,000"
4145,PERKINELMER INC,2005,10-K,0001193125-05-048036,
110039,AMKOR TECHNOLOGY INC,2004,10-K/A,0000950153-05-001357,"172,000,000"
110039,AMKOR TECHNOLOGY INC,2005,10-K,0000950153-06-000688,
110039,AMKOR TECHNOLOGY INC,2004,10-K,0000893220-05-000695,"172,000,000"
6552,LAFARGE NORTH AMERICA INC,2005,10-K/A,0000950133-06-002101,blank
6552,LAFARGE NORTH AMERICA INC,2004,10-K,0000950133-05-000801,up to 1.1 billion
6552,LAFARGE NORTH AMERICA INC,2005,10-K,0000950133-06-000946,"1,100,000,000"
16478,EOG RESOURCES INC,2004,10-K,0000821189-05-000054,up to 500 million
16478,EOG RESOURCES INC,2005,10-K,0000821189-06-000040,"450,000,000"
6109,INTERNATIONAL RECTIFIER CORP /DE/,2005,10-K,0001104659-05-044537,
6109,INTERNATIONAL RECTIFIER CORP /DE/,2006,10-K,0001104659-06-061467,"142,000,000"
30718,METROLOGIC INSTRUMENTS INC,2004,10-K,0000815910-05-000025,
30718,METROLOGIC INSTRUMENTS INC,2005,10-K,0000815910-06-000032,"17,000,000"
10115,STRYKER CORP,2004,10-K,0000310764-05-000008,up to 800 million
10115,STRYKER CORP,2005,10-K,0000310764-06-000040,"722,000,000"
118577,INVITROGEN CORP,2004,10-K/A,0001193125-05-107298,0 to 27 million
118577,INVITROGEN CORP,2004,10-K/A,0001193125-05-104290,0 to 160 million
118577,INVITROGEN CORP,2004,10-K,0001193125-05-035182,
118577,INVITROGEN CORP,2005,10-K,0001193125-06-042488,"112,500,000"
7017,MARATHON OIL CORP,2005,10-K,0000950129-06-002297,
7017,MARATHON OIL CORP,2004,10-K,0001047469-05-006086,
1913,AVERY DENNISON CORPORATION,2005,10-K,0001193125-05-054130,
1913,AVERY DENNISON CORPORATION,2005,10-K,0000950129-06-002659,"344,000,000"
137131,CHARLES RIVER LABORATORIES INTERNATIONAL INC,2004,10-K,0001047469-05-005909,
137131,CHARLES RIVER LABORATORIES INTERNATIONAL INC,2005,10-K,0001104659-06-016438,"148,027"
137131,CHARLES RIVER LABORATORIES INTERNATIONAL INC,2004,10-K/A,0001047469-05-006307,blank
10540,THOMAS &amp; BETTS CORP,2005,10-K,0000950134-06-003788,"200,000,000"
10540,THOMAS &amp; BETTS CORP,2004,10-K,0000950134-05-004237,
12441,GARTNER INC,2005,10-K,0000950123-06-003019,"52,000,000"
12441,GARTNER INC,2004,10-K,0000950123-05-003248,"52,000,000"
1914,AVIALL INC,2004,10-K,0001193125-05-052283,5 to 7 million
1914,AVIALL INC,2005,10-K,0001193125-06-045046,"5,600,000"
12886,NEWS CORP,2006,10-K,0001193125-06-178355,"426,000,000"
12886,NEWS CORP,2005,10-K,0001193125-05-179099,up to 500 million
11600,WORTHINGTON INDUSTRIES INC,2006,10-K,0001193125-06-170895,"41,395,000"
11600,WORTHINGTON INDUSTRIES INC,2005,10-K,0001193125-05-167952,up to 74.3 million
139665,MOODYS CORP /DE/,2004,10-K,0000950123-05-002773,
139665,MOODYS CORP /DE/,2005,10-K,0001193125-06-041923,"63,000,000"
9772,SMITH INTERNATIONAL INC,2004,10-K,0000950129-05-002439,
9772,SMITH INTERNATIONAL INC,2005,10-K,0000950129-06-002581,"18,900,000"
133367,ENERGIZER HOLDINGS INC,2004,10-K,0001096752-04-000134,all html
133367,ENERGIZER HOLDINGS INC,2005,10-K/A,0001096752-06-000023,
133367,ENERGIZER HOLDINGS INC,2005,10-K/A,0001096752-06-000032,blank
133367,ENERGIZER HOLDINGS INC,2005,10-K,0001096752-05-000157,not specfic enough
65772,METTLER TOLEDO INTERNATIONAL INC/,2004,10-K,0000950152-05-001513,
65772,METTLER TOLEDO INTERNATIONAL INC/,2005,10-K,0000950152-06-001354,"396,000,000"
1971,BAIRNCO CORP /DE/,2004,10-K,0000350750-05-000011,
1971,BAIRNCO CORP /DE/,2005,10-K,0000350750-06-000009,"1,900,000"
27965,MICROCHIP TECHNOLOGY INC,2006,10-K,0001104659-06-038580,"500,000,000"
27965,MICROCHIP TECHNOLOGY INC,2005,10-K,0001104659-05-025010,
11609,WRIGLEY WM JR CO,2003,10-K/A,0001206774-05-000118,blank
11609,WRIGLEY WM JR CO,2005,10-K,0001206774-06-000260,"286,000"
11609,WRIGLEY WM JR CO,2004,10-K/A,0001206774-05-000228,blank
11609,WRIGLEY WM JR CO,2004,10-K,0001206774-05-000161,100k to 200k
6196,ANIXTER INTERNATIONAL INC,2005,10-K,0000950137-06-002223,"75,000,000"
6196,ANIXTER INTERNATIONAL INC,2004,10-K/A,0000950137-05-003040,blank
6196,ANIXTER INTERNATIONAL INC,2004,10-K,0000950137-05-002151,
11060,V F CORP,2005,10-K,0000893220-05-000519,up to 375 million
11060,V F CORP,2005,10-K,0000893220-06-000503,"153,000,000"
7420,MINE SAFETY APPLIANCES CO,2004,10-K,0001193125-05-049299,0 to 3 million
7420,MINE SAFETY APPLIANCES CO,2005,10-K,0001193125-06-046204,"22,000,000"
11094,VALMONT INDUSTRIES INC,2005,10-K,0001104659-06-016322,"15,900,000"
11094,VALMONT INDUSTRIES INC,2004,10-K,0001104659-05-009963,0 to 57k
3246,COMMERCIAL METALS CO,2005,10-K,0000950134-05-021079,up to 26 million
3246,COMMERCIAL METALS CO,2004,10-K,0000950134-04-017154,
10374,TECHNITROL INC,2005,10-K,0001169232-06-001442,"52,000,000"
10374,TECHNITROL INC,2004,10-K,0001169232-05-001375,0 to 125 million
14182,AMCOL INTERNATIONAL CORP,2004,10-K/A,0001275287-05-001577,blank
14182,AMCOL INTERNATIONAL CORP,2005,10-K/A,0001275287-06-001805,"16,461"
14182,AMCOL INTERNATIONAL CORP,2005,10-K,0001275287-06-001442,"16,461"
14182,AMCOL INTERNATIONAL CORP,2004,10-K,0001275287-05-001131,0 to 26.9 million
14182,AMCOL INTERNATIONAL CORP,2005,10-K/A,0001275287-06-001528,blank
14182,AMCOL INTERNATIONAL CORP,2004,10-K/A,0001275287-05-001592,blank
12216,LINEAR TECHNOLOGY CORP /CA/,2005,10-K/A,0000950005-05-000636,up 250 million
12216,LINEAR TECHNOLOGY CORP /CA/,2005,10-K,0000950005-05-000633,up to 250 million
12216,LINEAR TECHNOLOGY CORP /CA/,2006,10-K,0000791907-06-000006,
2555,CPI CORP,2005,10-K,0001169232-05-002236,
2555,CPI CORP,2006,10-K,0000025354-06-000014,not clear
8606,PITNEY BOWES INC /DE/,2004,10-K,0001206774-05-000278,
8606,PITNEY BOWES INC /DE/,2005,10-K/A,0000930413-06-005881,blank
8606,PITNEY BOWES INC /DE/,2005,10-K,0001206774-06-000420,"15,000,000"
3480,ARBITRON INC,2004,10-K,0000950133-05-000935,blank
3480,CERIDIAN CORP /DE/,2005,10-K,0001104659-06-017273,"130,300,000"
3480,ARBITRON INC,2005,10-K,0000950133-06-000895,blank
3480,CERIDIAN CORP /DE/,2003,10-K/A,0000950134-05-003402,blank
3480,CERIDIAN CORP /DE/,2004,10-K,0001104659-05-017373,blank
2136,VERIZON COMMUNICATIONS INC,2004,10-K,0001193125-05-049044,
2136,VERIZON COMMUNICATIONS INC,2005,10-K,0001193125-06-053710,"2,200,000,000"
62730,POLYCOM INC,2004,10-K,0001193125-05-046602,0 to 120 million
62730,POLYCOM INC,2005,10-K,0001193125-06-051060,"137,500,000"
11456,WEYERHAEUSER CO,2004,10-K,0001193125-05-041798,0 to 83 million
11456,WEYERHAEUSER CO,2005,10-K,0001193125-06-036731,"1,100,000,000"
12471,WORLD FUEL SERVICES CORP,2005,10-K/A,0001193125-06-095420,blank
12471,WORLD FUEL SERVICES CORP,2005,10-K,0001193125-06-056673,"40,000,000"
12471,WORLD FUEL SERVICES CORP,2004,10-K,0001193125-05-067072,0 to 111 million
12471,WORLD FUEL SERVICES CORP,2004,10-K/A,0001193125-05-099486,0 to 111.1 million
7486,MODINE MANUFACTURING CO,2006,10-K,0000067347-06-000113,"84,800,000"
7486,MODINE MANUFACTURING CO,2005,10-K,0000067347-05-000173,
8253,PACCAR INC,2004,10-K,0001104659-05-009484,up to 1.5 billion
8253,PACCAR INC,2005,10-K,0001104659-06-012138,"1,500,000,000"
4036,DONALDSON CO INC,2005,10-K,0000897101-05-002127,"80,000,000"
2751,CARDINAL HEALTH INC,2004,10-K,0000950152-04-007635,
2751,CARDINAL HEALTH INC,2005,10-K/A,0000950152-05-008943,blank
2751,CARDINAL HEALTH INC,2006,10-K,0001193125-06-184453,"500,000,000"
2751,CARDINAL HEALTH INC,2005,10-K,0000950152-05-007585,"500,000,000"
7647,BANK OF AMERICA CORP /DE/,2004,10-K,0001193125-05-039878,up to 1.1 billion
7647,BANK OF AMERICA CORP /DE/,2005,10-K,0001193125-06-056053,not clear
9372,ST JUDE MEDICAL INC,2005,10-K,0000897101-06-000598,"500,000,000"
9372,ST JUDE MEDICAL INC,2004,10-K,0000897101-05-000696,0 to 500 million
3278,CENDANT CORP,2005,10-K,0000950123-06-002437,"350,000,000"
3278,CENDANT CORP,2004,10-K,0000950123-05-002491,0 to 555 million
2950,CHATTEM INC,2004,10-K,0001072613-05-000298,blank
2950,CHATTEM INC,2005,10-K,0001072613-06-000481,
64690,AUTOLIV INC,2004,10-K,0001034670-05-000030,blank
64690,AUTOLIV INC,2005,10-K,0001034670-06-000029,"810,000,000"
5518,HASBRO INC,2004,10-K,0001047469-05-005891,0 to 500k
5518,HASBRO INC,2005,10-K,0000950135-06-001133,"547,000"
15855,SYMANTEC CORP,2005,10-K/A,0000891618-05-000433,blank
15855,SYMANTEC CORP,2004,10-K/A,0000950134-05-010334,
15855,SYMANTEC CORP,2006,10-K,0000891618-06-000254,"500,000,000"
15855,SYMANTEC CORP,2005,10-K,0000950134-05-012034,"500,000,000"
2968,J P MORGAN CHASE &amp; CO,2004,10-K/A,9999999997-05-030472,blank
2968,J P MORGAN CHASE &amp; CO,2004,10-K,0000950123-05-002539,0 to 1.9 billion
2968,J P MORGAN CHASE &amp; CO,2005,10-K,0000950123-06-002875,"1,900,000,000"
2968,J P MORGAN CHASE &amp; CO,2005,10-K/A,0000950123-06-009854,"1,900,000,000"
2968,J P MORGAN CHASE &amp; CO,2005,10-K/A,0000950123-06-008545,blank
2154,BEMIS CO INC,2005,10-K,0001104659-06-016718,"105,000,000"
2154,BEMIS CO INC,2004,10-K,0001104659-05-010653,
8655,POGO PRODUCING CO,2005,10-K,0001104659-06-013524,"497,000,000"
8655,POGO PRODUCING CO,2004,10-K,0001104659-05-009767,up to 195.7
133366,EDWARDS LIFESCIENCES CORP,2005,10-K,0001047469-06-003132,"263,100,000"
133366,EDWARDS LIFESCIENCES CORP,2004,10-K,0001047469-05-005556,150 to 250 million
5723,STARWOOD HOTEL &amp; RESORTS WORLDWIDE INC,2005,10-K,0000950153-06-000650,"550,000,000"
5723,STARWOOD HOTELS &amp; RESORTS,2004,10-K,0000950153-05-000427,up to 500 million
3612,CROSS A T CO,2005,10-K,0000025793-05-000020,
3612,CROSS A T CO,2005,10-K,0000025793-06-000012,"20,700,000"
24975,SYNOPSYS INC,2004,10-K,0001047469-05-000652,
24975,SYNOPSYS INC,2005,10-K,0001104659-06-001880,"172,500,000"
24975,SYNOPSYS INC,2004,10-K/A,0001104659-05-034477,blank
13700,DENTSPLY INTERNATIONAL INC /DE/,2005,10-K,0000818479-06-000014,"345,000,000"
13700,DENTSPLY INTERNATIONAL INC /DE/,2004,10-K,0000818479-05-000019,up to 500 million
13948,CONSUMERS ENERGY CO,2004,10-K,0000950124-05-001425,"71,000,000"
13948,CMS ENERGY CORP,2003,10-K/A,0000950124-04-006283,blank
13948,CONSUMERS ENERGY CO,2005,10-K,0000950124-06-000851,"377,000,000"
13948,CMS ENERGY CORP,2005,10-K/A,0000950124-06-003181,"377,000,000"
13948,CMS ENERGY CORP,2004,10-K/A,0000950124-05-004034,
7435,3M CO,2005,10-K,0001104659-06-010894,"1,800,000,000"
7435,3M CO,2004,10-K,0001104659-05-008057,800 to 950 million
14960,LABORATORY CORP OF AMERICA HOLDINGS,2006,10-K,0000920148-06-000067,
14960,LABORATORY CORP OF AMERICA HOLDINGS,2005,10-K,0000920148-05-000049,blank
8214,OWENS CORNING,2004,10-K/A,0000950172-05-000912,blank
8214,OWENS CORNING,2004,10-K,0001193125-05-044604,150 to 200 million
8214,OWENS CORNING,2005,10-K,0001193125-06-036257,"220,000,000"
23978,UNITED STATES STEEL CORP,2005,10-K,0001193125-06-041454,"300,000,000"
23978,UNITED STATES STEEL CORP,2004,10-K,0001193125-05-037218,0 to 500 million
157057,ASSURANT INC,2005,10-K,0001193125-06-051258,"110,000"
157057,ASSURANT INC,2004,10-K,0000950123-05-003934,"110,000,000"
7636,MYERS INDUSTRIES INC,2005,10-K,0000950152-06-002199,"4,400,000"
7636,MYERS INDUSTRIES INC,2004,10-K/A,0000069488-05-000032,blank
7636,MYERS INDUSTRIES INC,2004,10-K,0000950152-05-002215,0 to 15 million
61591,NETWORK APPLIANCE INC,2006,10-K,0000950134-06-013059,"405,500,000"
61591,NETWORK APPLIANCE INC,2005,10-K,0000950134-05-013074,up to 355 million
3639,CUBIC CORP /DE/,2004,10-K,0001104659-04-038948,
3639,CUBIC CORP /DE/,2005,10-K,0001104659-05-060610,
12256,ADAPTEC INC,2006,10-K,0001047469-06-008428,"360,600,000"
12256,ADAPTEC INC,2005,10-K,0001047469-05-017228,"360,600,000"
64480,MACROVISION CORP,2003,10-K/A,0001206774-05-000503,not enough info
64480,MACROVISION CORP,2004,10-K,0001206774-05-000504,0 to 30 million
64480,MACROVISION CORP,2005,10-K,0001193125-06-043226,"65,000,000"
4843,FOREST LABORATORIES INC,2006,10-K,0000038074-06-000035,"1,238,900"
4843,FOREST LABORATORIES INC,2005,10-K,0000038074-05-000018,"1,238,900"
110533,SAUER DANFOSS INC,2004,10-K,0001104659-05-010907,0 to 148 million
110533,SAUER DANFOSS INC,2005,10-K,0001104659-06-015860,"90,000,000"
2787,CARPENTER TECHNOLOGY CORP,2006,10-K/A,0001043039-06-000078,blank
2787,CARPENTER TECHNOLOGY CORP,2006,10-K,0001193125-06-181084,"18,500,000"
2787,CARPENTER TECHNOLOGY CORP,2005,10-K,0001193125-05-182991,up to 15 million
5764,HUBBELL INC,2005,10-K,0000950123-06-002794,"35,000,000"
5764,HUBBELL INC,2004,10-K,0000950123-05-002855,
10793,TYSON FOODS INC,2005,10-K,0000100493-05-000077,"404,000,000"
10793,TYSON FOODS INC,2004,10-K,0000100493-04-000084,
10793,TYSON FOODS INC,2006,10-K/A,0000100493-06-000009,"404,000,000"
66519,GENESIS MICROCHIP INC /DE,2005,10-K/A,0001193125-05-139648,"73,000,000"
66519,GENESIS MICROCHIP INC /DE,2005,10-K,0001193125-05-122928,"73,000,000"
66519,GENESIS MICROCHIP INC /DE,2006,10-K,0000950134-06-011568,"73,000,000"
8247,PPG INDUSTRIES INC,2004,10-K,0001193125-05-031817,
8247,PPG INDUSTRIES INC,2005,10-K,0001193125-06-033428,"114,000,000"
160681,NMHG HOLDING CO,2004,10-K/A,0000950152-05-005764,0 to 70 million
160681,NMHG HOLDING CO,2005,10-K,0000950152-06-001531,"56,000,000"
160681,NMHG HOLDING CO,2005,10-K/A,0000950152-06-004377,"56,000,000"
160681,NMHG HOLDING CO,2005,10-K/A,0000950152-06-002817,"56,000,000"
160681,NMHG HOLDING CO,2004,10-K,0000950152-05-002160,0 to 70 million
27776,ROCKY SHOES &amp; BOOTS INC,2005,10-K,0000950152-06-002176,"3,000,000"
27776,ROCKY SHOES &amp; BOOTS INC,2004,10-K/A,0000950152-05-003021,blank
27776,ROCKY SHOES &amp; BOOTS INC,2004,10-K,0000950152-05-002199,up to 5 million
1762,ARMSTRONG WORLD INDUSTRIES INC,2003,10-K/A,0001193125-04-186228,blank
1762,ARMSTRONG WORLD INDUSTRIES INC,2004,10-K,0001193125-05-065072,up to 82.2 million
1762,ARMSTRONG HOLDINGS INC /PA/,2005,10-K,0001193125-06-038254,"7,300,000"
9359,SAFEWAY INC,2005,10-K,0001193125-06-050988,"500,000,000"
9359,SAFEWAY INC,2005,10-K,0001193125-05-052818,0 to 734 million
2577,CTS CORP,2005,10-K,0000026058-06-000015,"77,000,000"
2577,CTS CORP,2004,10-K,0000026058-05-000006,45 to 75 million
24197,IDEXX LABORATORIES INC /DE,2005,10-K,0000874716-06-000041,"30,000,000"
24197,IDEXX LABORATORIES INC /DE,2004,10-K,0000874716-05-000035,
29015,DECKERS OUTDOOR CORP,2005,10-K,0000950129-06-002462,"3,500,000"
29015,DECKERS OUTDOOR CORP,2004,10-K,0000950129-05-002490,0 to 12 million
3607,Chemtura CORP,2005,10-K,0001104659-06-021363,"365,000,000"
3607,CROMPTON CORP,2004,10-K,0000950117-05-000981,0 to 340 million
6375,KELLOGG CO,2005,10-K,0000950124-05-001480,up to 70 million
6375,KELLOGG CO,2005,10-K,0000950124-06-000896,"1,100,000,000"
5709,HORMEL FOODS CORP /DE/,2004,10-K,0001104659-05-001285,
5709,HORMEL FOODS CORP /DE/,2005,10-K,0001104659-06-002096,"9,000,000"
7291,METHODE ELECTRONICS INC,2005,10-K,0000950137-05-008702,
7291,METHODE ELECTRONICS INC,2006,10-K,0000950137-06-007779,"38,100,000"
61552,LEXMARK INTERNATIONAL INC /KY/,2005,10-K,0000950152-06-001859,"684,000,000"
61552,LEXMARK INTERNATIONAL INC /KY/,2004,10-K,0000950152-05-001915,up to 684 million
2710,"CONSTELLATION BRANDS, INC.",2005,10-K,0000016918-05-000031,
2710,"CONSTELLATION BRANDS, INC.",2006,10-K,0000016918-06-000033,"95,700,000"
8488,APPLERA CORP,2005,10-K,0001125282-05-004710,html text
8488,APPLERA CORP,2006,10-K,0001125282-06-005280,"476,400,000"
1161,ADVANCED MICRO DEVICES INC,2005,10-K,0001193125-06-040130,
1161,ADVANCED MICRO DEVICES INC,2004,10-K,0001193125-05-039876,only tax cost
12053,EMC CORP,2004,10-K,0000950135-05-001223,
12053,EMC CORP,2005,10-K,0001193125-06-045961,"3,000 something"
25870,MINERALS TECHNOLOGIES INC,2005,10-K,0000891014-06-000048,"18,500,000"
25870,MINERALS TECHNOLOGIES INC,2004,10-K,0000891014-05-000081,
3662,CURTISS WRIGHT CORP,2005,10-K,0000950117-06-001076,"9.300,000"
3662,CURTISS WRIGHT CORP,2004,10-K,0000950117-05-000989,0 to 23 million
145701,PRINCIPAL FINANCIAL GROUP INC,2005,10-K,0001047469-06-002772,maybe 27 million
145701,PRINCIPAL FINANCIAL GROUP INC,2004,10-K,0001047469-05-005426,0 to 54 million
1300,HONEYWELL INTERNATIONAL INC,2005,10-K,0000950117-06-000980,"2,200,000,000"
1300,HONEYWELL INTERNATIONAL INC,2004,10-K,0000950117-05-000756,up to 2.6 billion
4818,FLUOR CORP,2004,10-K/A,0000892569-05-000101,blank
4818,MASSEY ENERGY CO,2004,10-K,0001193125-05-052563,blank
4818,FLUOR CORP,2004,10-K,0000892569-05-000093,
4818,FLUOR CORP,2005,10-K,0000892569-06-000202,unclear
4818,MASSEY ENERGY CO,2005,10-K,0001193125-06-056614,blank
1104,ACME UNITED CORP,2004,10-K,0001026608-05-000015,0 to 2.1 million
1104,ACME UNITED CORP,2005,10-K,0001026608-06-000045,"500,000"
